hotel_name,hotel_area,room_type,room_price_per_night,hotel_rating
Snow Valley Resorts,Main Town,Standard Room(No View),2901,4.4 / 5
Rocky Knob (Explore World Art in One Property),Main Town,Rocky Room,2643,4.6 / 5
Honeymoon Inn,The Mall Road,Super Deluxe Room,3400,4.5 / 5
Hotel Le Talbot,The Mall Road,DELUXE ROOM ( VALLEY VIEW ),1341,3.9 / 5
Hotel Prashant,The Mall Road,DELUXE ROOM (Side Facing Without Balcony),1346,3.8 / 5
The Oaktree House,Main Town,Premium Room,3225,4.8 / 5
Hotel Sidharath,Ram Bazar,Deluxe Room,1480,3.9 / 5
New Cosmos,The Mall Road,Deluxe Room,1317,3.7 / 5
Hotel Sangeet,The Mall Road,Deluxe Room,1828,
Ashiana Clarks INN Shimla,Chotta Shimla,Semi Deluxe Room,3481,3.4 / 5
